"","Gene_id","module","value"
"348","AT1G06257","yellow",0.269300870086408
"349","AT1G06360","blue",-0.920226890754327
"350","AT1G06360","brown",0.500530714189582
"351","AT1G06360","turquoise",0.913673771688111
"352","AT1G06360","yellow",-0.280593485628607
"353","AT1G06400","blue",-0.897813627857178
"354","AT1G06400","brown",0.350651757270711
"355","AT1G06400","turquoise",0.928026832867391
"356","AT1G06400","yellow",-0.303224228045372
"357","AT1G06410","blue",-0.969168858767072
"358","AT1G06410","brown",0.2476371909
"359","AT1G06410","turquoise",0.978187891399973
"360","AT1G06410","yellow",-0.440662897132073
"361","AT1G06515","blue",-0.891311891115325
"362","AT1G06515","brown",0.27049096961453
"363","AT1G06515","turquoise",0.879771957855634
"364","AT1G06515","yellow",-0.532492839919022
"365","AT1G06573","blue",-0.950248533729963
"366","AT1G06573","brown",0.240398188779701
"367","AT1G06573","turquoise",0.945955142900833
"368","AT1G06573","yellow",-0.378973207952682
"369","AT1G06620","blue",-0.0222981192445817
"370","AT1G06620","brown",0.0261165443110903
"371","AT1G06620","turquoise",0.0547580587451384
"372","AT1G06620","yellow",0.747026578313937
"373","AT1G06640","blue",-0.691581654989885
"374","AT1G06640","brown",0.490879451834401
"375","AT1G06640","turquoise",0.717260096161497
"376","AT1G06640","yellow",0.246211999890804
"377","AT1G06680","blue",-0.492608690878207
"378","AT1G06680","brown",0.965963212445985
"379","AT1G06680","turquoise",0.563546359700507
"380","AT1G06680","yellow",0.0282746457082309
"381","AT1G06760","blue",-0.479638276520054
"382","AT1G06760","brown",0.89782137060926
"383","AT1G06760","turquoise",0.556507524089376
"384","AT1G06760","yellow",-0.145547927116063
"385","AT1G06830","blue",-0.796813830653354
"386","AT1G06830","brown",0.599029970616868
"387","AT1G06830","turquoise",0.84836747572229
"388","AT1G06830","yellow",-0.382736785020847
"389","AT1G07000","blue",-0.921811516165465
"390","AT1G07000","brown",0.469075606966209
"391","AT1G07000","turquoise",0.931990396735559
"392","AT1G07000","yellow",-0.266350768122619
"393","AT1G07050","blue",0.844079411448783
"394","AT1G07050","brown",-0.295419418223947
"395","AT1G07050","turquoise",-0.774293582194676
"396","AT1G07050","yellow",0.253497561647957
"397","AT1G07135","blue",-0.813851755688851
"398","AT1G07135","brown",0.143744684774867
"399","AT1G07135","turquoise",0.724350941585444
"400","AT1G07135","yellow",-0.50100597993954
"401","AT1G07150","blue",0.741263311553665
"402","AT1G07150","brown",0.243795214956386
"403","AT1G07150","turquoise",-0.685085848028046
"404","AT1G07150","yellow",0.79366442414068
"405","AT1G07187","blue",0.54822977265016
"406","AT1G07187","brown",-0.536016554142996
"407","AT1G07187","turquoise",-0.572485079847092
"408","AT1G07187","yellow",0.0223662292445134
"409","AT1G07280","blue",0.792060047657534
"410","AT1G07280","brown",-0.461832305941705
"411","AT1G07280","turquoise",-0.706124062613937
"412","AT1G07280","yellow",0.239864078918816
"413","AT1G07310","blue",-0.776712558068798
"414","AT1G07310","brown",0.71099553693348
"415","AT1G07310","turquoise",0.84590954510464
"416","AT1G07310","yellow",-0.145922314146398
"417","AT1G07320","blue",-0.305946367442507
"418","AT1G07320","brown",0.984125855616228
"419","AT1G07320","turquoise",0.358868928571508
"420","AT1G07320","yellow",0.123605109916556
