"","Gene_id","colors","L_1","M_1","H_1","expr_total","Diff_H_L"
"21","AT2G01190","turquoise",1.6094379124341,1.58052390226946,3.34339169956577,5.02840972219542,1.73395378713167
"22","AT4G33420","turquoise",1.20821379858319,1.21935390636424,2.97527443165159,4.65690838139251,1.7670606330684
"23","AT5G37770","turquoise",3.6759841661282,3.91526773559303,5.44437466888794,7.15805474792158,1.76839050275974
"24","AT3G54810","turquoise",2.76930207713397,2.96848953716012,4.54576513269555,6.25107502337885,1.77646305556158
"25","AT3G13520","turquoise",4.39885302363792,4.48085335148071,6.20403237205001,7.88519002717581,1.80517934841209
"26","AT1G72150","turquoise",4.0342406381524,4.19052557486263,5.86605012258541,7.55047195074272,1.83180948443301
"27","AT2G23130","turquoise",4.15587073830065,3.88875437848879,5.99697434028158,7.63020394712765,1.84110360198093
"28","AT1G24170","turquoise",2.83218340208332,3.10267903046569,4.67441635872491,6.37270526632528,1.84223295664159
"29","AT1G53730","turquoise",2.48968687296099,2.6715590925198,4.33568815018026,6.0200277082323,1.84600127721927
"30","AT2G31730","turquoise",2.3714112839239,2.5851289875897,4.21855136567629,5.90713139864223,1.84714008175239
"31","AT2G34770","turquoise",3.59112879877025,3.7809457418212,5.44688822235674,7.12983426384651,1.85575942358649
"32","AT2G46330","turquoise",3.92902760424397,3.88475457827395,5.80457005034389,7.45315622738782,1.87554244609992
"33","AT1G22882","turquoise",1.97408102602201,2.08287314698153,3.85423498166075,5.52018009796252,1.88015395563874
"34","AT5G15350","turquoise",4.33862971328969,4.37927284647726,6.22383539567232,7.88007467565894,1.88520568238264
"35","AT1G17620","turquoise",3.26747549470426,2.97399778140798,5.17850571213531,6.79450819034604,1.91103021743105
"36","AT2G06850","turquoise",5.10467193602264,5.17190344169238,7.01638095818692,8.66959491413783,1.91170902216428
"37","AT5G44020","turquoise",4.38293247427728,4.54486270137834,6.31913026276173,7.97839324279449,1.93619778848445
"38","AT3G28200","turquoise",3.35200713747138,3.34471520970735,5.29741696130487,6.93432904791717,1.94540982383349
"39","AT1G63570","turquoise",0.322083499169113,0.169742774587095,2.32361246018612,3.93398017278019,2.00152896101701
"40","AT1G61667","turquoise",1.02155124253165,-0.124996490174685,3.02577639490237,4.5755353808584,2.00422515237072
"41","AT2G36410","turquoise",2.02946317187359,2.12912416463229,4.04423477773665,5.67791750846115,2.01477160586306
"42","AT1G75310","turquoise",1.35260830346508,1.59837696507468,3.36850199882401,5.01985928862379,2.01589369535893
"43","AT1G25560","turquoise",1.78632807923085,1.48500783405592,3.8271184983377,5.41721089648845,2.04079041910685
"44","AT1G35350","turquoise",2.06178660644112,2.36485541872017,4.13264337619792,5.77882810231167,2.0708567697568
"45","AT1G22330","turquoise",1.12574095605636,1.23401692567431,3.20091549949121,4.82261754475742,2.07517454343485
"46","AT5G11740","turquoise",5.30263304061564,5.20810541864576,7.40946951987967,9.00462530838839,2.10683647926403
"47","AT1G22400","turquoise",1.76044078597063,1.90880148965972,3.86728711158675,5.4868280643678,2.10684632561613
"48","AT3G30775","turquoise",1.44338332810402,1.29677985391214,3.56147212819737,5.14999135701204,2.11808880009336
"49","AT3G58850","turquoise",1.45919624910356,1.63948203378248,3.60004824040732,5.21613069556009,2.14085199130376
"50","AT3G19680","turquoise",2.69005593772993,2.6555280818431,4.86955164531855,6.45662835830603,2.17949570758861
"51","AT3G57930","turquoise",1.38128181929635,1.54756250871601,3.5611881179711,5.16786693716397,2.17990629867475
"52","AT3G59350","turquoise",2.0949457282158,2.21156569460688,4.32806531057408,5.91945821112289,2.23311958235828
"53","AT5G24030","turquoise",2.82360854173648,2.68801754735197,5.06251591597325,6.63082849384718,2.23890737423676
"54","AT2G33570","turquoise",2.54179882448575,2.73469213204863,4.80984422101864,6.40238143389439,2.26804539653289
"55","AT5G44130","turquoise",4.60589492330255,4.66228276544433,6.87687072331776,8.45577512990977,2.27097580001521
"56","AT4G29310","turquoise",0.624600638024835,0.980204057617808,2.89563565701571,4.50546034183908,2.27103501899087
"57","AT3G05490","turquoise",2.18295660553851,2.15871472257434,4.46860562653186,6.03803797040757,2.28564902099335
"58","AT1G72790","turquoise",1.21194097397511,1.08856195281461,3.51720105741846,5.07567369027548,2.30526008344335
"59","AT1G23030","turquoise",2.52232285117342,2.94601668130806,4.83667865363393,6.4459578862835,2.31435580246051
"60","AT4G28190","turquoise",0.53209775904153,0.47933495667462,2.85431270808046,4.41546141076012,2.32221494903893
"61","AT2G34510","turquoise",2.91248652495072,2.92208573338569,5.2348316243775,6.80097152878412,2.32234509942677
"62","AT5G49360","turquoise",1.94911927999626,1.94662417978897,4.28033991790081,5.84403704929135,2.33122063790454
"63","AT3G05320","turquoise",1.29267025908722,1.85629799036563,3.66791114767774,5.28244201738975,2.37524088859052
"64","AT1G55330","turquoise",4.34743518990426,4.46179045730875,6.76158723629199,8.32160157556394,2.41415204638773
"65","AT5G54380","turquoise",2.3767644911683,2.60841401092686,4.79746270048519,6.36681403131152,2.42069820931689
"66","AT2G42580","turquoise",2.09155537206335,2.17758860281936,4.53098528779871,6.08470440345273,2.43942991573537
"67","AT4G04745","turquoise",0.237046456483201,0.128832871842968,2.68119274693233,4.21994878435697,2.44414629044913
"68","AT5G03120","turquoise",2.94391252482419,3.10166762396266,5.40737354482448,6.9632656689097,2.46346102000028
"69","AT2G23100","turquoise",0.27002713721306,0.49317068852727,2.74406063862524,4.30392994893746,2.47403350141218
"70","AT1G03870","turquoise",4.14942442848906,4.10935631984254,6.64249983909191,8.17899226146534,2.49307541060286
"71","AT5G62730","turquoise",0.37672263924251,0.65881450147944,2.95334655705755,4.50247278774975,2.57662391781504
"72","AT3G62150","turquoise",0.294533547400883,0.408792898200839,2.8966023076468,4.42891022057273,2.60206876024592
"73","AT1G14520","turquoise",0.506817602368452,0.649717622632609,3.11595677086036,4.64937844065241,2.60913916849191
"74","AT4G24570","turquoise",1.44633057456395,1.43746264769429,4.07685924788108,5.59719898925342,2.63052867331713
"75","AT4G37240","turquoise",0.900161349944271,0.647103242058538,3.55684693761315,5.0606310804175,2.65668558766888
"76","AT1G70090","turquoise",1.51732262352629,1.71334737582461,4.20192760623302,5.72909278261237,2.68460498270673
"77","AT1G66160","turquoise",0.591944675050783,0.691896398658293,3.27874722190559,4.79900850290971,2.68680254685481
"78","AT4G30270","turquoise",3.9471970804358,4.2083054880991,6.64090145149174,8.17167577017338,2.69370437105594
"79","AT4G37450","turquoise",2.51426316619898,2.42502394018662,5.24864118498109,6.75211849544957,2.73437801878211
"80","AT2G31010","turquoise",-0.00501254182354429,0.146262506978252,2.74727091425549,4.262820712194,2.75228345607904
"81","AT1G22530","turquoise",2.48989419129904,2.68495214985623,5.24590502520831,6.76390800298398,2.75601083390927
"82","AT2G23290","turquoise",0.966032823768969,1.34286480319255,3.73790768518129,5.26718783135112,2.77187486141232
"83","AT2G44500","turquoise",1.47761933781325,1.77960253895742,4.29793145598709,5.81541329082739,2.82031211817384
"84","AT2G16660","turquoise",1.74178109942181,1.81888813661631,4.5973396068729,6.09665754873612,2.85555850745109
"85","AT1G03457","turquoise",0.660107326481745,0.817574758934997,3.52819707242346,5.03076466539142,2.86808974594172
"86","AT3G62720","turquoise",1.40179854765586,1.27675847405158,4.32977893762054,5.81203879342605,2.92798038996469
"87","AT5G61590","turquoise",2.00653477087175,2.3030849680357,4.99795524093888,6.49558272617702,2.99142047006713
"88","AT4G13340","turquoise",2.68153509544645,2.72228178334893,5.73383468266119,7.21222071946826,3.05229958721473
"89","AT1G76090","turquoise",1.34872228821213,1.62924053973028,4.43251179010509,5.91991483826791,3.08378950189296
"90","AT2G38310","turquoise",2.37583555473364,2.49856297623549,5.49735263451828,6.97343065365677,3.12151707978464
"91","AT5G20250","turquoise",1.36800309114764,1.41645977545162,4.50476957187945,5.97632552826518,3.13676648073181
"92","AT1G50040","turquoise",0.250758718347183,0.113328685307003,3.41993735303621,4.88196824183779,3.16917863468903
"93","AT1G57990","turquoise",1.73298209852556,1.90954250488444,5.16202502314708,6.61700182800587,3.42904292462152
"94","AT2G30930","turquoise",1.47761933781325,1.54436591569039,4.93804667995388,6.38731693403309,3.46042734214063
"95","AT1G21910","turquoise",1.18402516651624,1.60140574073684,4.68921257656286,6.14842555996174,3.50518741004662
"96","AT5G57550","turquoise",0,0.0319830458530507,3.51860997834412,4.96340391439082,3.51860997834412
"97","AT5G51550","turquoise",2.21484617868604,2.33287178559892,5.94103272365303,7.37724627685486,3.72618654496699
"98","AT2G17230","turquoise",1.02604159583327,1.23692390446562,4.80882506071844,6.24472984897471,3.78278346488516
"99","AT4G16563","turquoise",0.911278190050611,0.943905898907128,4.74797098461976,6.17717618441333,3.83669279456915
"100","AT5G05440","turquoise",0.083881483980702,0.0416216746908194,4.03419638938582,5.45749823090035,3.95031490540512
"101","AT3G23730","turquoise",0.971725438762256,1.56965704242226,5.1099525862068,6.54022159170853,4.13822714744454
"102","AT1G72416","turquoise",0.0124225199985571,0.209044626934708,4.66584186552082,6.07304453410041,4.65341934552227
"103","AT4G08950","turquoise",1.59076464716848,2.10596175148923,6.33821414738136,7.74743706772639,4.74744950021288
"104","AT3G45970","turquoise",1.32108895099462,1.73651099499758,6.32740985921457,7.73040324015245,5.00632090821995
"105","AT5G57560","turquoise",1.30968325874805,2.05187762333363,6.70296416178524,8.10325831587976,5.39328090303719
